-0.0000800000	-0.0000050000	-0.0000165000	0.397558
-0.0000930000	-0.0000070000	-0.0000313600	0.170595
0.0000880000	-0.0000450000	0.0000813600	4.32038
-0.0001270000	-0.0000270000	0.0000253700	0.105112
0.0001080000	0.0001160000	-0.0000553700	0.229086
-0.0000270000	0.0000760000	-0.0001545400	0.165184
0.0000430000	-0.0000410000	0.0001947800	0.0849611
-0.0001850000	0.0001250000	0.0000257200	0.23489
0.0001110000	-0.0000760000	0.0001861900	1.11693
0.0000810000	0.0001540000	-0.0001889200	0.384801
0.0000570000	0.0002500000	-0.0000309300	0.226684
-0.0001680000	-0.0001900000	0.0000536900	0.196111
0.0001500000	0.0001550000	-0.0001466600	0.275015
0.0000230000	0.0001530000	0.0002113100	0.130478
-0.0000220000	0.0002270000	0.0001350600	0.429252
0.0000590000	0.0000190000	0.0002707000	1.62879
-0.0002850000	0.0000610000	0.0000245900	0.217745
-0.0001580000	-0.0002250000	0.0001065700	0.172293
0.0000010000	0.0000150000	-0.0002974300	0.225718
0.0000660000	0.0000360000	-0.0002902700	0.32123
0.0001990000	0.0000290000	0.0002263300	0.210536
-0.0001340000	-0.0002480000	-0.0001255300	1.0804
-0.0000210000	-0.0002460000	-0.0001989200	0.322161
-0.0001320000	-0.0000030000	-0.0003029200	0.144487
-0.0001320000	0.0000170000	0.0003028900	1.20692
0.0002020000	-0.0001650000	0.0002170500	0.189172
0.0000020000	0.0000980000	-0.0003285000	0.166945
0.0001750000	-0.0002910000	-0.0000890300	0.244314
-0.0000310000	0.0003490000	0.0000256400	0.395536
0.0003500000	0.0000060000	-0.0000850200	0.181852
-0.0001440000	0.0001770000	0.0002798400	0.0650287
-0.0000560000	-0.0003060000	-0.0001973100	1.18457
0.0001810000	-0.0003070000	-0.0001018600	0.215916
0.0001440000	-0.0000710000	-0.0003373600	0.257859
0.0000200000	-0.0003490000	0.0001382300	0.190493
-0.0002140000	0.0002640000	0.0001644800	1.56475
0.0001150000	-0.0000550000	0.0003667400	0.219709
0.0001510000	0.0001860000	0.0003072900	3.68336
0.0002120000	-0.0000160000	-0.0003277000	0.984866
0.0000170000	-0.0003880000	0.0000670900	0.0833217
0.0002480000	-0.0003070000	0.0000448300	0.25039
-0.0001090000	-0.0001910000	-0.0003318500	0.402655
-0.0002250000	-0.0003160000	0.0000923100	0.227175
0.0002700000	-0.0002670000	0.0001303300	0.175704
